stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,Stim_Loc_diff,bootstrap_values,Running_Mean,slopes,intercepts,DoVM
106.0,99.0,4.3665628430000005,1.0,1.0,291.0,8.0,282.0,141.0,-13.0,-5.091358819846288,-48.0,9.0,-1.6872336623345479,-0.8606186548249622,-0.045011215018238536,-0.38086184989011374,2.623527597985845e-05
24.0,127.0,3.634517193,2.0,1.0,311.0,93.0,96.0,97.0,4.0,-1.0932588163235444,-69.0,-145.0,1.1994539696501332,-1.0635723610547556,0.09580766371155676,-1.1630758378522958,3.9989598382137344e-05
65.0,50.0,5.703067064,3.0,1.0,209.0,32.0,350.0,36.0,4.0,2.5621072482828247,33.0,-141.0,1.013137287162155,-1.5563736259065724,0.0834524381168538,-1.4289218631860299,5.452864067938644e-05
8.0,141.0,2.469946861,4.0,1.0,282.0,64.0,119.0,43.0,-21.0,-18.065560439340675,-56.0,163.0,-1.5119633559734769,-1.4941155481026664,-0.10369051669733959,-0.5205383462745962,7.01492524213112e-05
32.0,36.0,2.312299728,6.0,1.0,350.0,20.0,216.0,15.0,-5.0,-5.267767187355549,12.0,134.0,-1.334519246660206,-1.520531964086772,-0.013472699577407939,-1.0532898879028634,8.71801065558663e-05
64.0,43.0,1.132830858,7.0,1.0,119.0,143.0,18.0,139.0,-4.0,-4.208675444328083,67.0,101.0,-1.6017285314405925,-1.726256304321264,0.07180964578801718,0.8212728410238438,0.00010599170563491555
76.0,117.0,3.533450127,8.0,1.0,347.0,103.0,196.0,107.0,4.0,3.8863653370995728,-27.0,151.0,0.899136898451405,-1.8816762582826492,0.11001002311553645,0.3721456613231373,0.00012700786134877738
20.0,15.0,2.6871762280000002,9.0,1.0,216.0,4.0,105.0,5.0,1.0,9.353416901509005,16.0,111.0,-3.327637440391016,-2.94342546131024,-0.2135541268352531,-2.55044652705024,0.00015071905215874247
143.0,139.0,6.321692944,10.0,1.0,18.0,17.0,160.0,21.0,4.0,5.016469086949751,-20.0,-142.0,1.020014632165174,-2.7476851258548582,0.21070114058299072,-0.7778300888800259,0.00017769812846552858
103.0,107.0,2.054796934,11.0,1.0,196.0,120.0,286.0,131.0,11.0,22.68810703581671,-17.0,-90.0,0.0667818477392242,-3.02491864932427,-0.007914699778920809,-1.210969170229425,0.00020861891391276671
