stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
119.0,127.0,2.1025819778442383,1.0,1.0,129.0,90.0,332.0,92.0,2.0,-8.215610754071513,29.0,2.532896941523715,5.4717708580835716,9.872948745679663
90.0,92.0,3.0992467403411865,2.0,1.0,332.0,31.0,120.0,53.0,22.0,10.617204892904347,59.0,0.1743688341639586,4.296955891101322,10.758693382378375
31.0,53.0,5.473381996154785,3.0,1.0,120.0,143.0,316.0,147.0,4.0,-1.970650052478895,36.0,1.5228696764258725,11.620274283224147,8.288628439543487
143.0,147.0,3.8422348499298096,4.0,1.0,316.0,48.0,169.0,52.0,4.0,-0.5780367130793636,-53.0,-0.31991557814018773,5.882246637009646,8.570349782124625
48.0,52.0,4.3530189990997314,5.0,1.0,169.0,4.0,318.0,38.0,34.0,31.39090947224193,44.0,0.7570075682708493,8.967205056418937,7.549216564317293
4.0,38.0,4.599388837814331,6.0,1.0,318.0,118.0,133.0,94.0,-24.0,-21.763340622205924,34.0,1.7831315489816517,7.563035380633349,6.885669410108954
118.0,94.0,3.302850246429444,7.0,1.0,133.0,94.0,44.0,103.0,9.0,-2.072135572339384,24.0,3.318224827386278,4.112551036943561,3.963908153735739
94.0,103.0,2.7552530765533447,8.0,1.0,44.0,145.0,130.0,113.0,-32.0,-40.614650774892816,-51.0,-0.3891162135148795,5.3686162190012725,4.712167692161098
145.0,113.0,9.902224302291868,9.0,1.0,130.0,77.0,90.0,111.0,34.0,31.927721584061892,68.0,0.05733368907372349,1.2527993346507906,4.981815814113769
77.0,111.0,3.3161098957061768,10.0,1.0,90.0,51.0,58.0,48.0,-3.0,-4.656853227054221,26.0,3.0125116644100554,2.625781052072462,3.988827540454315
51.0,48.0,4.202094793319701,11.0,1.0,58.0,6.0,89.0,22.0,16.0,9.67916436827148,45.0,0.6898886323806072,3.9322788740045502,3.2954879827682255
6.0,22.0,4.836860179901123,12.0,1.0,89.0,120.0,61.0,103.0,-17.0,-13.02237685045423,34.0,1.7831315489816517,-1.974277630253923,2.4072723920194377
120.0,103.0,1.4832539558410645,13.0,1.0,61.0,30.0,59.0,52.0,22.0,11.237869816380119,-58.0,-0.1934891817722098,1.5507035430424265,2.193013547781253
30.0,52.0,2.5333919525146484,14.0,1.0,59.0,107.0,108.0,94.0,-13.0,-19.962482885929994,71.0,0.031237106851441893,-1.0469366324152583,2.146616093594314
107.0,94.0,5.01571798324585,15.0,1.0,108.0,67.0,56.0,69.0,2.0,6.036665180877613,40.0,1.0859341571626846,-0.4029074761285408,-0.0604436575456573
67.0,69.0,3.3680040836334233,16.0,1.0,56.0,134.0,327.0,122.0,-12.0,-5.0010473536698825,-67.0,-0.06694626488326805,5.193598614069274,-2.249408898773633
134.0,122.0,4.980716943740845,17.0,1.0,327.0,103.0,217.0,76.0,-27.0,-36.26888548505956,31.0,2.2195339792887703,7.078170995661275,-1.9003840227187168
103.0,76.0,6.199363708496094,18.0,1.0,217.0,113.0,246.0,138.0,25.0,22.753115168960058,-10.0,-3.4024379734003984,-4.155861146167041,-1.8943328415564091
