stimulusID,morphID,RT,trialNumber,blockNumber,stimLocationDeg,shifted_stimulusID,shifted_stimLocationDeg,shifted_morphID,Error,responseError,Stim_diff,DoVM_values,bootstrap_values,Running_Mean
11.0,35.0,2.301038265,1.0,1.0,20.0,7.0,282.0,5.0,-2.0,2.1974079360768695,4.0,1.4474136416394288,4.089009175833579,-2.674714194861359
7.0,5.0,2.316076994,2.0,1.0,282.0,16.0,107.0,10.0,-6.0,-4.532151216274949,-9.0,-2.8552300068822944,4.948875009614118,-2.764011841416604
16.0,10.0,1.701611996,3.0,1.0,107.0,15.0,30.0,9.0,-6.0,-4.308295997225821,1.0,0.3731138616873612,2.7674708444374043,-2.6736705363360946
15.0,9.0,5.435902834,4.0,1.0,30.0,103.0,218.0,98.0,-5.0,-11.33173529206841,60.0,0.14078882122485797,3.5305035571795416,-2.730909844085864
103.0,98.0,4.650954008,5.0,1.0,218.0,23.0,135.0,22.0,-1.0,0.2830796236910853,-68.0,-0.05146135211809053,4.405712415574385,-2.750240890155753
23.0,22.0,2.553016186,6.0,1.0,135.0,102.0,286.0,109.0,7.0,-0.3179360800404627,69.0,0.043292254346287806,5.706221749749524,-1.9754385462788007
102.0,109.0,1.9703190330000002,7.0,1.0,286.0,56.0,218.0,40.0,-16.0,-7.918557805212581,46.0,0.5638416570831049,8.023652738272355,-3.5825091076456466
56.0,40.0,2.797664881,8.0,1.0,218.0,107.0,69.0,99.0,-8.0,-10.048565440369439,-51.0,-0.3492614342744878,1.9184385481253379,-0.6590726608853236
107.0,99.0,4.786664009,9.0,1.0,69.0,18.0,176.0,131.0,-35.0,-33.80084855158723,-59.0,-0.15650930749839084,5.610181197319613,-0.8502989267476003
18.0,131.0,0.917917013,10.0,1.0,176.0,74.0,135.0,90.0,16.0,18.914746950118563,-56.0,-0.2129700294880472,4.537406753914468,-0.275682248725891
74.0,90.0,3.27105999,11.0,1.0,135.0,120.0,222.0,117.0,-3.0,1.214292699584453,-46.0,-0.5638416570831049,-3.2735365329186656,-0.275682248725891
120.0,117.0,2.281294823,12.0,1.0,222.0,52.0,93.0,43.0,-9.0,-2.3228233966194782,68.0,0.05146135211809053,8.305736601869153,-0.275682248725891
52.0,43.0,2.587383032,13.0,1.0,93.0,137.0,106.0,128.0,-9.0,-14.636087152564878,63.0,0.10086196958442203,2.9909218076549786,-1.1488832314186308
137.0,128.0,2.248811007,14.0,1.0,106.0,55.0,76.0,42.0,-13.0,-5.233465601380269,-66.0,-0.06925544278288524,6.468510912512408,-1.066441402744558
55.0,42.0,1.7624850269999999,15.0,1.0,76.0,26.0,6.0,41.0,15.0,16.553658515793124,29.0,2.273467894429179,7.774162960695161,-0.9333643166414305
