stimulusID,stimulus_JPG,stimulusPath,stimulusPath2,stimulusPath3,stimulusPath4,stimulusPath5,stimulusPath6,xRayOriginal,xRayPath,Training.thisRepN,Training.thisTrialN,Training.thisN,Training.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,text_2.started,text_2.stopped,image.started,image.stopped,image_2.started,image_2.stopped,image_3.started,image_3.stopped,image_4.started,image_4.stopped,image_6.started,image_6.stopped,image_7.started,image_7.stopped,image_8.started,image_8.stopped,image_9.started,image_9.stopped,image_10.started,image_10.stopped,image_12.started,image_12.stopped,xrayID,trialNumber,blockNumber,stimLocationDeg,stimXCoord,stimYCoord,stimulusID,blockType,trainingXray.started,trainingXray.stopped,trainingTumors.started,trainingTumors.stopped,trainingScore%,startTrainingRespTime,endTrainingRespTime,trainingRT,morphTrack,morphID,errorRaw,errorCorrected,startTrainingStimTime,endTrainingStimTime,key_resp_3.keys,key_resp_3.rt,text.started,text.stopped,text_3.started,text_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,xray1.started,xray1.stopped,tumors.started,tumors.stopped,trialCorrect%,startRespTime,endRespTime,RT,startStimTime,endStimTime,key_resp.keys,key_resp.rt,participant,session,age,gender,status,date,expName,psychopyVersion,frameRate
30,Stimuli/Morph30.JPG,Stimuli/Morph30.png,Stimuli/BlurLevel5/BlurEditedMorph30,Stimuli/BlurLevel5/BlurEditedMorph30.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph30.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph30.png,Stimuli/BlurMorphTrio/EditedMorph30.png,010076right.gif,Stimuli/normal_thumbnails/30right.gif,0,0,0,29,,,,,,,,,63.97748555,None,63.97748555,None,63.97748555,None,63.97748555,None,63.97748555,None,63.97748555,None,63.97748555,None,63.97748555,None,63.97748555,None,63.97748555,None,63.97748555,None,80,-100,-100,329,2.142918252,-1.287595187,30,training,96.06375431,96.56043769,96.06375431,96.56043769,95.91836735,1575397453,1575397458,4.733204126,121,27,3,3,1575397451,1575397453,space,5.419793731,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
105,Stimuli/Morph105.JPG,Stimuli/Morph105.png,Stimuli/BlurLevel5/BlurEditedMorph105,Stimuli/BlurLevel5/BlurEditedMorph105.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph105.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph105.png,Stimuli/BlurMorphTrio/EditedMorph105.png,None,None,0,1,1,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,-100,-100,194,-2.425739316,-0.604804739,105,training,108.5828638,109.076413,108.5828638,109.076413,90.47619048,1575397465,1575397468,3.116653919,146,112,-7,-7,1575397463,1575397465,space,4.879899254,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
43,Stimuli/Morph43.JPG,Stimuli/Morph43.png,Stimuli/BlurLevel5/BlurEditedMorph43,Stimuli/BlurLevel5/BlurEditedMorph43.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph43.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph43.png,Stimuli/BlurMorphTrio/EditedMorph43.png,010124right.gif,Stimuli/normal_thumbnails/43right.gif,0,2,2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,-100,-100,41,1.886773951,1.640147572,43,training,118.9194142,119.4103369,118.9194142,119.4103369,90.47619048,1575397476,1575397479,3.583540916,114,50,-7,-7,1575397473,1575397476,space,3.736820112,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
123,Stimuli/Morph123.JPG,Stimuli/Morph123.png,Stimuli/BlurLevel5/BlurEditedMorph123,Stimuli/BlurLevel5/BlurEditedMorph123.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph123.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph123.png,Stimuli/BlurMorphTrio/EditedMorph123.png,None,None,0,3,3,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,-100,-100,149,-2.142918252,1.287595187,123,training,128.4487068,128.9430081,128.4487068,128.9430081,68.70748299,1575397485,1575397492,6.90061903,98,100,23,23,1575397483,1575397485,space,2.334715503,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
139,Stimuli/Morph139.JPG,Stimuli/Morph139.png,Stimuli/BlurLevel5/BlurEditedMorph139,Stimuli/BlurLevel5/BlurEditedMorph139.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph139.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph139.png,Stimuli/BlurMorphTrio/EditedMorph139.png,None,None,0,4,4,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,-100,-100,108,-0.772542486,2.377641291,139,training,140.2332117,140.7264698,140.2332117,140.7264698,97.27891156,1575397497,1575397510,12.81738615,77,141,-2,-2,1575397494,1575397497,space,2.425615897,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
119,Stimuli/Morph119.JPG,Stimuli/Morph119.png,Stimuli/BlurLevel5/BlurEditedMorph119,Stimuli/BlurLevel5/BlurEditedMorph119.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph119.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph119.png,Stimuli/BlurMorphTrio/EditedMorph119.png,None,None,0,5,5,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,-100,-100,323,1.996588775,-1.504537558,119,training,158.2608296,158.7592658,158.2608296,158.7592658,78.23129252,1575397515,1575397520,5.51651001,103,103,16,16,1575397512,1575397515,space,5.762157936,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
93,Stimuli/Morph93.JPG,Stimuli/Morph93.png,Stimuli/BlurLevel5/BlurEditedMorph93,Stimuli/BlurLevel5/BlurEditedMorph93.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph93.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph93.png,Stimuli/BlurMorphTrio/EditedMorph93.png,020280right.gif,Stimuli/normal_thumbnails/93right.gif,0,6,6,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,-100,-100,43,1.828384254,1.7049959,93,training,172.4090997,172.9087576,172.4090997,172.9087576,94.55782313,1575397529,1575397534,4.817705154,130,97,-4,-4,1575397526,1575397529,space,3.121111228,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
135,Stimuli/Morph135.JPG,Stimuli/Morph135.png,Stimuli/BlurLevel5/BlurEditedMorph135,Stimuli/BlurLevel5/BlurEditedMorph135.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph135.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph135.png,Stimuli/BlurMorphTrio/EditedMorph135.png,None,None,0,7,7,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,-100,-100,83,0.304673359,2.481365379,135,training,183.2760617,183.7755291,183.2760617,183.7755291,98.63945578,1575397540,1575397544,4.028650045,34,134,1,1,1575397537,1575397540,space,2.602900693,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
48,Stimuli/Morph48.JPG,Stimuli/Morph48.png,Stimuli/BlurLevel5/BlurEditedMorph48,Stimuli/BlurLevel5/BlurEditedMorph48.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph48.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph48.png,Stimuli/BlurMorphTrio/EditedMorph48.png,010131right.gif,Stimuli/normal_thumbnails/48right.gif,0,8,8,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,-100,-100,250,-0.855050358,-2.349231552,48,training,193.1328774,193.6257861,193.1328774,193.6257861,94.55782313,1575397550,1575397552,2.016593933,4,52,-4,-4,1575397547,1575397550,space,3.070956712,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
124,Stimuli/Morph124.JPG,Stimuli/Morph124.png,Stimuli/BlurLevel5/BlurEditedMorph124,Stimuli/BlurLevel5/BlurEditedMorph124.png,Stimuli/BlurLevel5/NumberedMorphs/BlurEditedMorph124.png,Stimuli/BlurLevel5/OriginalBlur/BlurEditedMorph124.png,Stimuli/BlurMorphTrio/EditedMorph124.png,None,None,0,9,9,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,-100,-100,56,1.397982259,2.072593931,124,training,200.4603958,200.9589244,200.4603958,200.9589244,98.63945578,1575397557,1575397560,2.383090973,60,123,1,1,1575397555,1575397557,space,4.492350726,,,,,,,,,,,,,,,,,,,,,,,S1,1,64,M,Expert Radiologist,2019_Dec_03_1223,AdjustEyeTrack,3.1.5,59.69175547
