peak_velocity,start_gx,type,sd,start_gy,amplitude,rms,end_time,end_gy,mean_gy,duration,blink_id,end_gx,mean_gx,start_time,end_point
,,blink,,,,,1575397362.6270592,,,,1.0,,,1575397362.4939203,
,,blink,,,,,1575397363.6551483,,,,2.0,,,1575397363.4985168,
,,blink,,,,,1575397364.2038443,,,,3.0,,,1575397364.0472128,
,,blink,,,,,1575397364.5313554,,,,4.0,,,1575397364.4748719,
,,blink,,,,,1575397365.0444553,,,,5.0,,,1575397364.6765983,
,,blink,,,,,1575397368.8449783,,,,6.0,,,1575397368.7151582,
,,blink,,,,,1575397372.8424773,,,,7.0,,,1575397372.7133722,
,,blink,,,,,1575397383.6469357,,,,8.0,,,1575397381.5933623,
,,blink,,,,,1575397383.9656634,,,,9.0,,,1575397383.8526964,
,,blink,,,,,1575397384.7927408,,,,10.0,,,1575397384.2359757,
,,blink,,,,,1575397385.9224076,,,,11.0,,,1575397385.0065703,
,,blink,,,,,1575397386.7454512,,,,12.0,,,1575397386.4993448,
,,blink,,,,,1575397387.3385258,,,,13.0,,,1575397387.2215247,
,,blink,,,,,1575397388.2866392,,,,14.0,,,1575397388.1413968,
,,blink,,,,,1575397389.1936872,,,,15.0,,,1575397389.0531988,
,,blink,,,,,1575397390.0335886,,,,16.0,,,1575397389.8964148,
,,blink,,,,,1575397391.9378848,,,,17.0,,,1575397391.7966762,
,,blink,,,,,1575397394.0923214,,,,18.0,,,1575397393.9511127,
,,blink,,,,,1575397395.2307782,,,,19.0,,,1575397395.0888488,
,,blink,,,,,1575397398.6271272,,,,20.0,,,1575397398.4939876,
,,blink,,,,,1575397400.382146,,,,21.0,,,1575397399.7688978,
,,blink,,,,,1575397401.4755018,,,,22.0,,,1575397401.3302588,
,,blink,,,,,1575397402.2347152,,,,23.0,,,1575397402.0806808,
,,blink,,,,,1575397406.4460368,,,,24.0,,,1575397406.3007936,
,,blink,,,,,1575397408.7416818,,,,25.0,,,1575397408.6004734,
,,blink,,,,,1575397409.6971402,,,,26.0,,,1575397409.5485868,
,,blink,,,,,1575397410.6749442,,,,27.0,,,1575397410.5168734,
,,blink,,,,,1575397411.7958179,,,,28.0,,,1575397411.6465402,
,,blink,,,,,1575397412.8697262,,,,29.0,,,1575397412.7156892,
,,blink,,,,,1575397415.4114773,,,,30.0,,,1575397415.2614741,
