block,exp_event,task,timestamp,trial
,Recording Begins,,1575397360.687795,
1,Block 1 Begins,Block begins,1575397629.473918,
1,Begin for trial 1 in block 1,Trial begins,1575397629.517741,1
1,Fixation dot begins for trial 1 in block 1,Fixation dot,1575397629.517909,1
1,Image onset for trial 1 in block 1,Image onset,1575397630.580393,1
1,Adjust Task begins for trial 1 in block 1,Adjust task,1575397632.221977,1
1,Adjust Task ends for trial 1 in block 1,,1575397638.4716191,1
1,Ending trial 1 in block 1,End trial,1575397638.488698,1
1,Begin for trial 2 in block 1,Trial begins,1575397638.489731,2
1,Fixation dot begins for trial 2 in block 1,Fixation dot,1575397638.48988,2
1,Image onset for trial 2 in block 1,Image onset,1575397639.6200802,2
1,Adjust Task begins for trial 2 in block 1,Adjust task,1575397641.18798,2
1,Adjust Task ends for trial 2 in block 1,,1575397642.704757,2
1,Ending trial 2 in block 1,End trial,1575397642.7218208,2
1,Begin for trial 3 in block 1,Trial begins,1575397642.72289,3
1,Fixation dot begins for trial 3 in block 1,Fixation dot,1575397642.7230191,3
1,Image onset for trial 3 in block 1,Image onset,1575397643.89805,3
1,Adjust Task begins for trial 3 in block 1,Adjust task,1575397645.454464,3
1,Adjust Task ends for trial 3 in block 1,,1575397648.321575,3
1,Ending trial 3 in block 1,End trial,1575397648.3387709,3
1,Begin for trial 4 in block 1,Trial begins,1575397648.339616,4
1,Fixation dot begins for trial 4 in block 1,Fixation dot,1575397648.339732,4
1,Image onset for trial 4 in block 1,Image onset,1575397649.2353091,4
1,Adjust Task begins for trial 4 in block 1,Adjust task,1575397650.7884128,4
1,Adjust Task ends for trial 4 in block 1,,1575397653.338281,4
1,Ending trial 4 in block 1,End trial,1575397653.355596,4
1,Begin for trial 5 in block 1,Trial begins,1575397653.3570461,5
1,Fixation dot begins for trial 5 in block 1,Fixation dot,1575397653.357312,5
1,Image onset for trial 5 in block 1,Image onset,1575397654.8119712,5
1,Adjust Task begins for trial 5 in block 1,Adjust task,1575397656.40984,5
1,Adjust Task ends for trial 5 in block 1,,1575397658.73798,5
1,Ending trial 5 in block 1,End trial,1575397658.755757,5
1,Begin for trial 6 in block 1,Trial begins,1575397658.756795,6
1,Fixation dot begins for trial 6 in block 1,Fixation dot,1575397658.756945,6
1,Image onset for trial 6 in block 1,Image onset,1575397660.0607018,6
1,Adjust Task begins for trial 6 in block 1,Adjust task,1575397661.6361978,6
1,Adjust Task ends for trial 6 in block 1,,1575397664.57198,6
1,Ending trial 6 in block 1,End trial,1575397664.589493,6
1,Begin for trial 7 in block 1,Trial begins,1575397664.591008,7
1,Fixation dot begins for trial 7 in block 1,Fixation dot,1575397664.5911639,7
1,Image onset for trial 7 in block 1,Image onset,1575397665.6643279,7
1,Adjust Task begins for trial 7 in block 1,Adjust task,1575397667.222199,7
1,Adjust Task ends for trial 7 in block 1,,1575397669.571878,7
1,Ending trial 7 in block 1,End trial,1575397669.5902169,7
1,Begin for trial 8 in block 1,Trial begins,1575397669.5912478,8
1,Fixation dot begins for trial 8 in block 1,Fixation dot,1575397669.5913322,8
1,Image onset for trial 8 in block 1,Image onset,1575397670.727189,8
1,Adjust Task begins for trial 8 in block 1,Adjust task,1575397672.288857,8
1,Adjust Task ends for trial 8 in block 1,,1575397674.172044,8
1,Ending trial 8 in block 1,End trial,1575397674.189014,8
1,Begin for trial 9 in block 1,Trial begins,1575397674.190054,9
1,Fixation dot begins for trial 9 in block 1,Fixation dot,1575397674.190132,9
1,Image onset for trial 9 in block 1,Image onset,1575397675.416694,9
1,Adjust Task begins for trial 9 in block 1,Adjust task,1575397677.00542,9
1,Adjust Task ends for trial 9 in block 1,,1575397681.155571,9
1,Ending trial 9 in block 1,End trial,1575397681.178557,9
1,Begin for trial 10 in block 1,Trial begins,1575397681.179528,10
1,Fixation dot begins for trial 10 in block 1,Fixation dot,1575397681.1796448,10
1,Image onset for trial 10 in block 1,Image onset,1575397682.545596,10
1,Adjust Task begins for trial 10 in block 1,Adjust task,1575397684.104872,10
1,Adjust Task ends for trial 10 in block 1,,1575397686.454975,10
1,Ending trial 10 in block 1,End trial,1575397686.472585,10
1,Begin for trial 11 in block 1,Trial begins,1575397686.4734972,11
1,Fixation dot begins for trial 11 in block 1,Fixation dot,1575397686.473611,11
1,Image onset for trial 11 in block 1,Image onset,1575397687.7109098,11
1,Adjust Task begins for trial 11 in block 1,Adjust task,1575397689.255254,11
1,Adjust Task ends for trial 11 in block 1,,1575397693.1399071,11
1,Ending trial 11 in block 1,End trial,1575397693.15598,11
1,Begin for trial 12 in block 1,Trial begins,1575397693.156899,12
1,Fixation dot begins for trial 12 in block 1,Fixation dot,1575397693.157021,12
1,Image onset for trial 12 in block 1,Image onset,1575397694.22217,12
1,Adjust Task begins for trial 12 in block 1,Adjust task,1575397695.7836459,12
1,Adjust Task ends for trial 12 in block 1,,1575397701.590202,12
1,Ending trial 12 in block 1,End trial,1575397701.606008,12
1,Begin for trial 13 in block 1,Trial begins,1575397701.6069708,13
1,Fixation dot begins for trial 13 in block 1,Fixation dot,1575397701.607085,13
1,Image onset for trial 13 in block 1,Image onset,1575397702.375562,13
1,Adjust Task begins for trial 13 in block 1,Adjust task,1575397703.923309,13
1,Adjust Task ends for trial 13 in block 1,,1575397705.521922,13
1,Ending trial 13 in block 1,End trial,1575397705.539833,13
1,Begin for trial 14 in block 1,Trial begins,1575397705.540947,14
1,Fixation dot begins for trial 14 in block 1,Fixation dot,1575397705.541137,14
1,Image onset for trial 14 in block 1,Image onset,1575397706.869941,14
1,Adjust Task begins for trial 14 in block 1,Adjust task,1575397708.407336,14
1,Adjust Task ends for trial 14 in block 1,,1575397709.4727008,14
1,Ending trial 14 in block 1,End trial,1575397709.492764,14
1,Begin for trial 15 in block 1,Trial begins,1575397709.494006,15
1,Fixation dot begins for trial 15 in block 1,Fixation dot,1575397709.494198,15
1,Image onset for trial 15 in block 1,Image onset,1575397710.518789,15
1,Adjust Task begins for trial 15 in block 1,Adjust task,1575397712.088586,15
1,Adjust Task ends for trial 15 in block 1,,1575397713.007622,15
1,Ending trial 15 in block 1,End trial,1575397713.022784,15
1,Begin for trial 16 in block 1,Trial begins,1575397713.0238762,16
1,Fixation dot begins for trial 16 in block 1,Fixation dot,1575397713.023993,16
1,Image onset for trial 16 in block 1,Image onset,1575397713.9274082,16
1,Adjust Task begins for trial 16 in block 1,Adjust task,1575397715.473622,16
1,Adjust Task ends for trial 16 in block 1,,1575397718.056041,16
1,Ending trial 16 in block 1,End trial,1575397718.073641,16
1,Begin for trial 17 in block 1,Trial begins,1575397718.07449,17
1,Fixation dot begins for trial 17 in block 1,Fixation dot,1575397718.0745568,17
1,Image onset for trial 17 in block 1,Image onset,1575397718.848694,17
1,Adjust Task begins for trial 17 in block 1,Adjust task,1575397720.388919,17
1,Adjust Task ends for trial 17 in block 1,,1575397722.072758,17
1,Ending trial 17 in block 1,End trial,1575397722.0928798,17
1,Begin for trial 18 in block 1,Trial begins,1575397722.0940201,18
1,Fixation dot begins for trial 18 in block 1,Fixation dot,1575397722.094114,18
1,Image onset for trial 18 in block 1,Image onset,1575397722.501152,18
1,Adjust Task begins for trial 18 in block 1,Adjust task,1575397724.022749,18
1,Adjust Task ends for trial 18 in block 1,,1575397725.656134,18
1,Ending trial 18 in block 1,End trial,1575397725.6734452,18
1,Begin for trial 19 in block 1,Trial begins,1575397725.674434,19
1,Fixation dot begins for trial 19 in block 1,Fixation dot,1575397725.6745422,19
1,Image onset for trial 19 in block 1,Image onset,1575397726.642186,19
1,Adjust Task begins for trial 19 in block 1,Adjust task,1575397728.1891541,19
1,Adjust Task ends for trial 19 in block 1,,1575397730.923018,19
1,Ending trial 19 in block 1,End trial,1575397730.942703,19
1,Begin for trial 20 in block 1,Trial begins,1575397730.943711,20
1,Fixation dot begins for trial 20 in block 1,Fixation dot,1575397730.943855,20
1,Image onset for trial 20 in block 1,Image onset,1575397732.345844,20
1,Adjust Task begins for trial 20 in block 1,Adjust task,1575397733.906742,20
1,Adjust Task ends for trial 20 in block 1,,1575397741.039766,20
1,Ending trial 20 in block 1,End trial,1575397741.0590239,20
1,Begin for trial 21 in block 1,Trial begins,1575397741.0606022,21
1,Fixation dot begins for trial 21 in block 1,Fixation dot,1575397741.060812,21
1,Image onset for trial 21 in block 1,Image onset,1575397741.878488,21
1,Adjust Task begins for trial 21 in block 1,Adjust task,1575397743.40561,21
1,Adjust Task ends for trial 21 in block 1,,1575397745.422802,21
1,Ending trial 21 in block 1,End trial,1575397745.4399061,21
1,Begin for trial 22 in block 1,Trial begins,1575397745.4409258,22
1,Fixation dot begins for trial 22 in block 1,Fixation dot,1575397745.4411268,22
1,Image onset for trial 22 in block 1,Image onset,1575397746.2774231,22
1,Adjust Task begins for trial 22 in block 1,Adjust task,1575397747.823912,22
1,Adjust Task ends for trial 22 in block 1,,1575397749.356941,22
1,Ending trial 22 in block 1,End trial,1575397749.376572,22
1,Begin for trial 23 in block 1,Trial begins,1575397749.3775191,23
1,Fixation dot begins for trial 23 in block 1,Fixation dot,1575397749.377653,23
1,Image onset for trial 23 in block 1,Image onset,1575397750.403763,23
1,Adjust Task begins for trial 23 in block 1,Adjust task,1575397751.9396648,23
1,Adjust Task ends for trial 23 in block 1,,1575397754.62381,23
1,Ending trial 23 in block 1,End trial,1575397754.6416278,23
1,Begin for trial 24 in block 1,Trial begins,1575397754.642859,24
1,Fixation dot begins for trial 24 in block 1,Fixation dot,1575397754.6430259,24
1,Image onset for trial 24 in block 1,Image onset,1575397755.808198,24
1,Adjust Task begins for trial 24 in block 1,Adjust task,1575397757.35719,24
1,Adjust Task ends for trial 24 in block 1,,1575397764.2249,24
1,Ending trial 24 in block 1,End trial,1575397764.24076,24
1,Begin for trial 25 in block 1,Trial begins,1575397764.2415512,25
1,Fixation dot begins for trial 25 in block 1,Fixation dot,1575397764.241659,25
1,Image onset for trial 25 in block 1,Image onset,1575397765.8516202,25
1,Adjust Task begins for trial 25 in block 1,Adjust task,1575397767.406949,25
1,Adjust Task ends for trial 25 in block 1,,1575397768.8436449,25
1,Ending trial 25 in block 1,End trial,1575397768.8577778,25
1,Begin for trial 26 in block 1,Trial begins,1575397768.8828511,26
1,Fixation dot begins for trial 26 in block 1,Fixation dot,1575397768.8830001,26
1,Image onset for trial 26 in block 1,Image onset,1575397769.581144,26
1,Adjust Task begins for trial 26 in block 1,Adjust task,1575397771.3407,26
1,Adjust Task ends for trial 26 in block 1,,1575397775.0086432,26
1,Ending trial 26 in block 1,End trial,1575397775.024014,26
1,Begin for trial 27 in block 1,Trial begins,1575397775.025132,27
1,Fixation dot begins for trial 27 in block 1,Fixation dot,1575397775.025268,27
1,Image onset for trial 27 in block 1,Image onset,1575397775.894837,27
1,Adjust Task begins for trial 27 in block 1,Adjust task,1575397777.456877,27
1,Adjust Task ends for trial 27 in block 1,,1575397782.623652,27
1,Ending trial 27 in block 1,End trial,1575397782.641376,27
1,Begin for trial 28 in block 1,Trial begins,1575397782.64256,28
1,Fixation dot begins for trial 28 in block 1,Fixation dot,1575397782.642685,28
1,Image onset for trial 28 in block 1,Image onset,1575397783.917474,28
1,Adjust Task begins for trial 28 in block 1,Adjust task,1575397785.474077,28
1,Adjust Task ends for trial 28 in block 1,,1575397788.823651,28
1,Ending trial 28 in block 1,End trial,1575397788.840816,28
